City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,new norfolk,-42.7826,147.0587,16.72,60,99,2.24,AU,1680918117
84,havoysund,70.9963,24.6622,2.13,99,100,9.42,NO,1680918117
85,qaqortoq,60.7167,-46.0333,-1.68,91,100,3.5,GL,1680918119
86,masvingo,-20.0637,30.8277,15.58,60,0,2.53,ZW,1680918119
87,ornskoldsvik,63.2909,18.7153,-2.47,80,20,2.57,SE,1680918120
88,iqaluit,63.7506,-68.5145,-24.15,77,20,4.12,CA,1680918120
89,kloulklubed,7.0419,134.2556,28.28,72,100,6.06,PW,1680918121
90,sakhnovshchyna,49.1517,35.872,7.4,85,100,3.9,UA,1680918121
91,teseney,15.11,36.6575,24.49,53,77,3.0,ER,1680918123
92,bambous virieux,-20.3428,57.7575,24.01,94,40,2.06,MU,1680918124
93,san carlos,9.6612,-68.5827,27.53,56,100,1.5,VE,1680918125
94,anloga,5.7947,0.8973,27.95,79,100,5.31,GH,1680918125
95,kathmandu,27.7167,85.3167,14.12,77,40,1.54,NP,1680917587
96,lardos,36.0942,28.0157,14.9,77,95,2.18,GR,1680918127
97,katsuura,35.1333,140.3,18.85,50,5,11.25,JP,1680918128
98,tuatapere,-46.1333,167.6833,15.75,49,0,1.03,NZ,1680918128
99,lorengau,-2.0226,147.2712,28.6,71,100,4.66,PG,1680918129
100,san jeronimo,-11.9472,-75.2829,8.76,92,100,2.12,PE,1680918130
101,sitka,57.0531,-135.33,5.94,70,75,2.57,US,1680918130
102,mahebourg,-20.4081,57.7,24.03,94,40,2.06,MU,1680918131
103,ritchie,-29.038,24.6028,18.56,54,60,4.65,ZA,1680918131
104,sabang,5.8933,95.3214,27.82,71,100,0.71,ID,1680918132
105,taoudenni,22.6783,-3.9836,23.67,16,31,4.8,ML,1680918133
106,baruun-urt,46.6806,113.2792,8.47,22,4,11.75,MN,1680918133
107,muravlenko,63.7898,74.523,-4.51,95,100,11.0,RU,1680918134
108,tupik,54.4253,119.9327,0.12,81,64,3.22,RU,1680918134
109,qaanaaq,77.484,-69.3632,-28.46,67,0,2.78,GL,1680918135
110,touros,-5.1989,-35.4608,25.43,89,99,2.98,BR,1680917944
111,gornopravdinsk,60.05,69.9,-6.04,70,100,5.23,RU,1680918137
112,upata,8.0086,-62.3989,25.11,69,100,3.25,VE,1680918137
113,santa cecilia,-26.9608,-50.4269,13.47,98,100,1.79,BR,1680918138
114,lomianki,52.3341,20.886,7.27,84,75,3.6,PL,1680917849
115,khandyga,62.6667,135.6,-10.52,71,100,4.11,RU,1680918139
116,nanortalik,60.1432,-45.2371,-1.32,91,100,2.43,GL,1680918140
117,ostersund,63.1792,14.6357,0.25,74,75,1.54,SE,1680918142
118,marang,5.2056,103.2059,27.95,73,73,0.91,MY,1680918143
119,vao,-22.6667,167.4833,24.32,75,2,3.55,NC,1680918144
120,alice springs,-23.7,133.8833,26.23,34,1,4.63,AU,1680918144
121,arrecife,28.963,-13.5477,17.99,68,20,2.06,ES,1680918145
122,whitehorse,60.7161,-135.0538,5.43,36,75,8.23,CA,1680918003
123,urumqi,43.801,87.6005,11.53,16,0,3.0,CN,1680918146
124,kuching,1.55,110.3333,28.9,78,20,2.06,MY,1680918147
125,alyangula,-13.8483,136.4192,29.85,69,93,5.86,AU,1680918148
126,asau,46.4333,26.4,-0.4,92,100,1.02,RO,1680918148
127,mitsamiouli,-11.3847,43.2844,27.09,78,75,3.28,KM,1680918149
128,maarianhamina,60.0973,19.9348,1.01,86,0,2.57,AX,1680918150
129,beringovskiy,63.05,179.3167,-14.46,81,98,0.68,RU,1680918151
130,barrow,71.2906,-156.7887,-20.99,77,100,6.17,US,1680918151
131,zhuanghe,39.7008,122.9911,10.57,25,0,5.52,CN,1680918152
132,ponta do sol,32.6667,-17.1,18.34,70,77,0.66,PT,1680918153
133,adrar,20.5022,-10.0711,25.81,22,100,3.18,MR,1680918153
134,rongcheng,30.634,117.8517,17.21,41,7,2.48,CN,1680918154
135,cayenne,4.9333,-52.3333,23.02,88,20,0.0,GF,1680918067
136,buala,-8.145,159.5921,29.77,69,97,2.88,SB,1680918156
137,kamenka,51.3223,42.7678,4.77,79,9,3.93,RU,1680918156
138,strezhevoy,60.7333,77.5889,-9.59,83,100,7.47,RU,1680918157
139,butaritari,3.0707,172.7902,27.81,80,68,7.83,KI,1680918157
140,nuuk,64.1835,-51.7216,-1.66,86,75,6.69,GL,1680918063
141,srednekolymsk,67.45,153.6833,-11.3,82,91,1.62,RU,1680918158
142,nakamura,32.9833,132.9333,14.02,43,1,5.46,JP,1680918159
143,nemuro,43.3236,145.575,2.4,96,100,2.94,JP,1680918098
144,meulaboh,4.1363,96.1285,25.76,83,100,1.85,ID,1680918160
145,ribeira grande,38.5167,-28.7,10.99,77,25,2.68,PT,1680918161
146,tautira,-17.7333,-149.15,28.77,75,100,9.71,PF,1680918161
147,lumphat,13.4878,106.9816,31.23,41,1,2.72,KH,1680918162
148,chuy,-33.6971,-53.4616,16.46,75,15,1.65,UY,1680918162
149,khatanga,71.9667,102.5,-21.46,94,100,6.3,RU,1680918163
150,zhigansk,66.7697,123.3711,-9.43,92,100,12.46,RU,1680918163
151,port hardy,50.6996,-127.4199,8.1,71,100,3.6,CA,1680918164
152,smithers,54.7804,-127.1743,6.18,61,75,4.12,CA,1680917875
153,saint marys,30.7305,-81.5465,24.47,85,56,3.13,US,1680918070
154,karratha,-20.7377,116.8463,32.18,34,56,2.66,AU,1680918165
155,port elizabeth,-33.918,25.5701,18.16,96,75,2.24,ZA,1680918165
156,dunedin,-45.8742,170.5036,17.26,46,0,7.24,NZ,1680918166
157,cherskiy,68.75,161.3,-16.55,84,94,1.27,RU,1680918166
158,vostok,46.4856,135.8833,1.07,36,0,3.62,RU,1680918167
159,timra,62.487,17.3257,-3.18,80,100,1.03,SE,1680918167
160,sao jose da coroa grande,-8.8978,-35.1478,26.23,83,68,1.99,BR,1680918168
161,naliya,23.2667,68.8333,24.23,64,7,3.08,IN,1680918168
162,mogocha,53.7333,119.7667,-0.13,69,48,1.97,RU,1680918169
163,saint anthony,45.0205,-93.218,5.99,60,0,4.63,US,1680918169
164,jatiroto,-7.8833,111.1167,26.78,72,80,1.99,ID,1680918170
165,itoman,26.1247,127.6694,20.21,60,75,11.83,JP,1680918170
166,sinnamary,5.3833,-52.95,24.47,78,45,4.12,GF,1680918171
167,papetoai,-17.4961,-149.8729,31.77,75,100,8.43,PF,1680918171
168,ajdabiya,30.7554,20.2263,15.97,50,100,6.43,LY,1680918173
169,suntar,62.1444,117.6319,-14.15,70,28,1.9,RU,1680918173
170,longyearbyen,78.2186,15.6401,-11.09,73,75,4.63,SJ,1680917979
171,victor harbor,-35.5667,138.6167,16.49,62,58,6.67,AU,1680918174
172,puerto escondido,15.85,-97.0667,27.46,69,0,1.54,MX,1680918175
173,bathsheba,13.2167,-59.5167,26.34,65,20,9.77,BB,1680918176
174,mount gambier,-37.8333,140.7667,15.1,62,100,5.54,AU,1680918177
175,keetmanshoop,-26.5833,18.1333,16.04,44,0,4.41,NA,1680918177
176,naron,43.5167,-8.1528,12.04,66,100,2.08,ES,1680918177
177,seymchan,62.8833,152.4333,-12.15,81,94,1.39,RU,1680918178
178,sibolga,1.7427,98.7792,27.35,71,92,0.19,ID,1680918179
179,cabo san lucas,22.8909,-109.9124,25.17,53,0,3.09,MX,1680918168
180,broken hill,-31.95,141.4333,20.29,44,2,8.37,AU,1680918179
181,bay roberts,47.5999,-53.2648,2.41,84,24,4.92,CA,1680918180
182,novyy yegorlyk,46.3927,41.8716,10.05,76,96,3.31,RU,1680918180
183,birnin kebbi,12.4539,4.1975,33.57,22,86,1.07,NG,1680918181
184,tilichiki,60.4667,166.1,-7.76,78,48,1.31,RU,1680918181
185,constitucion,-35.3333,-72.4167,15.32,51,77,4.08,CL,1680918183
186,erzin,36.9559,36.2,9.73,78,0,0.32,TR,1680918183
187,severo-kurilsk,50.6789,156.125,0.57,98,100,10.64,RU,1680918184
188,taonan,45.3333,122.7833,9.01,11,7,5.07,CN,1680918185
189,laguna,38.421,-121.4238,17.1,68,40,4.12,US,1680918186
190,kieta,-6.2167,155.6333,29.95,68,100,2.67,PG,1680918186
191,buraydah,26.326,43.975,17.25,43,90,3.19,SA,1680918188
192,puerto baquerizo moreno,-0.9,-89.6,26.42,79,100,2.08,EC,1680918188
193,faya,18.3851,42.4509,15.06,78,59,2.97,SA,1680918189
194,ekhabi,53.5102,142.9671,-1.58,77,100,8.15,RU,1680918190
195,campbell river,50.0163,-125.2446,11.21,50,100,3.6,CA,1680918190
196,atuona,-9.8,-139.0333,27.46,74,63,8.78,PF,1680918191
197,roanoke rapids,36.4615,-77.6542,8.32,100,100,2.06,US,1680918192
198,mackay,-21.15,149.2,33.16,72,6,2.61,AU,1680918193
199,kavieng,-2.5744,150.7967,26.75,86,100,3.52,PG,1680918193
200,clyde river,70.4692,-68.5914,-25.87,76,0,5.66,CA,1680918194
201,timbauba,-7.5053,-35.3183,23.6,92,88,1.71,BR,1680918195
202,asosa,10.0667,34.5333,20.81,24,78,1.46,ET,1680918200
203,aswan,24.0934,32.907,22.61,12,0,3.09,EG,1680918201
204,cutlerville,42.8409,-85.6636,6.21,58,20,3.09,US,1680918202
205,birin,26.8865,88.0718,18.88,33,46,0.52,NP,1680918202
206,ruwi,23.5996,58.5507,24.83,70,20,1.5,OM,1680918203
207,provideniya,64.3833,-173.3,-18.52,70,22,1.53,RU,1680918204
208,nakano,36.75,138.3667,16.87,72,100,2.29,JP,1680918204
209,khani,41.9563,42.9566,5.76,97,100,0.6,GE,1680918205
210,narsaq,60.9167,-46.05,1.12,88,100,2.19,GL,1680918205
211,upernavik,72.7868,-56.1549,-29.05,99,48,5.71,GL,1680918206
212,katima mulilo,-17.5,24.2667,16.97,60,86,1.93,NA,1680918207
213,flinders,-34.5833,150.8552,23.43,55,55,3.13,AU,1680918208
214,melfi,40.9965,15.6514,4.16,91,18,3.26,IT,1680918209
215,beloha,-25.1667,45.05,22.6,88,73,1.65,MG,1680918210
216,phetchabun,16.25,101.0833,27.15,52,100,1.98,TH,1680918211
217,cap malheureux,-19.9842,57.6142,24.15,79,17,0.89,MU,1680918211
218,padang,-0.9492,100.3543,26.03,74,95,1.07,ID,1680918174
219,whyalla,-33.0333,137.5833,19.08,66,56,9.25,AU,1680918213
220,kendari,-3.945,122.4989,29.25,65,100,1.66,ID,1680918214
221,ocos,14.5094,-92.1933,29.1,64,90,1.74,GT,1680918214
222,rosetta,31.4044,30.4164,15.75,84,21,5.65,EG,1680918215
223,havelock,34.8791,-76.9013,13.3,79,100,11.32,US,1680918216
224,victoria,22.2855,114.1577,23.44,81,100,0.45,HK,1680918066
225,jalu,29.0331,21.5482,18.29,44,100,5.7,LY,1680918217
226,tura,25.5198,90.2201,26.5,37,0,0.32,IN,1680918218
227,bonthe,7.5264,-12.505,25.99,88,15,2.57,SL,1680918219
228,bawku,11.0616,-0.2417,31.84,38,93,2.77,GH,1680918219
229,banes,20.9625,-75.7186,23.7,74,5,3.82,CU,1680918220
230,kralendijk,12.15,-68.2667,25.99,78,20,5.66,BQ,1680918220
231,pevek,69.7008,170.3133,-23.26,91,84,0.43,RU,1680918221
232,tolaga bay,-38.3667,178.3,15.31,94,100,8.85,NZ,1680918221
233,rawson,-43.3002,-65.1023,12.89,54,100,6.55,AR,1680918221
234,komsomolskiy,40.4272,71.7189,12.4,76,99,3.09,UZ,1680918222
235,winchester,51.0651,-1.3187,4.58,88,9,1.03,GB,1680918222
236,newport,51.5877,-2.9984,8.07,79,14,1.5,GB,1680918014
237,chirongui,-12.9319,45.1483,25.96,72,100,1.5,YT,1680918223
238,panormos,35.4182,24.6909,11.68,74,100,1.85,GR,1680918224
239,ahipara,-35.1667,173.1667,19.58,61,100,3.71,NZ,1680918224
240,marienburg,54.0359,19.0266,6.69,90,100,2.47,PL,1680918225
241,honiara,-9.4333,159.95,30.44,68,27,2.06,SB,1680918225
242,tokoname,34.8833,136.85,15.93,63,75,10.29,JP,1680918226
243,atherton,53.5237,-2.4935,7.66,81,10,0.45,GB,1680918226
244,katobu,-4.9408,122.5276,29.16,69,79,3.9,ID,1680918226
245,el alto,-4.2714,-81.2147,24.81,75,21,1.32,PE,1680918227
246,jeremie,18.65,-74.1167,23.85,77,2,0.98,HT,1680918227
247,inverell,-29.7833,151.1167,20.93,54,0,5.36,AU,1680918228
248,korfovskiy,48.2183,135.0564,2.7,32,0,3.4,RU,1680918228
249,gwanda,-20.9333,29.0,17.34,52,0,3.0,ZW,1680918229
250,novobirilyussy,56.9514,90.6661,-11.77,66,33,1.61,RU,1680918229
251,fostoria,41.157,-83.4169,5.09,69,84,3.58,US,1680918230
252,diffa,13.3154,12.6113,30.77,17,97,2.89,NE,1680918230
253,kahului,20.8947,-156.47,26.01,66,40,8.75,US,1680918230
254,bennettsville,34.6174,-79.6848,9.49,98,100,4.12,US,1680918231
255,gorontalo,0.5412,123.0595,30.3,63,80,2.63,ID,1680918023
256,mount isa,-20.7333,139.5,29.87,25,30,4.63,AU,1680918232
257,codrington,-38.2667,141.9667,15.18,68,100,8.32,AU,1680918232
258,hovd,48.0056,91.6419,6.33,25,100,3.04,MN,1680918233
259,gari,59.4307,62.3497,-3.6,66,7,3.33,RU,1680918233
260,kruisfontein,-34.0033,24.7314,16.05,87,100,2.95,ZA,1680918233
261,luocheng,29.3848,104.0286,17.84,53,27,0.32,CN,1680918234
262,ternate,0.8,127.4,27.9,80,100,4.83,ID,1680918234
263,san nicola,40.6116,8.991,6.0,97,18,2.31,IT,1680918235
264,langarud,37.197,50.1535,10.03,68,2,1.82,IR,1680918235
265,ugoofaaru,5.6667,73.0,28.02,73,14,3.7,MV,1680918236
266,hervey bay,-25.2986,152.8535,28.37,46,0,4.34,AU,1680918023
267,saint-pierre,-21.3393,55.4781,23.82,73,20,2.06,RE,1680918237
268,portland,45.5234,-122.6762,12.12,74,99,3.58,US,1680918099
269,sao joao da barra,-21.6403,-41.0511,24.24,90,100,2.5,BR,1680918238
270,ishigaki,24.3448,124.1572,20.07,60,40,9.26,JP,1680918238
271,oktyabrskiy,54.4815,53.471,-0.98,60,0,1.53,RU,1680918239
272,mayo,38.8876,-76.5119,12.3,50,0,2.06,US,1680917952
273,calama,-22.4667,-68.9333,16.27,48,0,4.63,CL,1680918240
274,nehe,48.4833,124.8333,5.12,28,1,3.37,CN,1680918240
275,antofagasta,-23.65,-70.4,19.6,86,39,1.66,CL,1680918241
276,iquique,-20.2208,-70.1431,21.02,76,7,0.26,CL,1680918241
277,adigeni,41.6819,42.6987,4.61,95,98,0.95,GE,1680918242
278,san ignacio,17.1561,-89.0714,29.08,45,0,5.14,BZ,1680918243
279,joao pinheiro,-17.7425,-46.1725,23.16,59,84,0.93,BR,1680918244
280,mwinilunga,-11.7358,24.4293,14.87,96,99,1.28,ZM,1680918245
281,salalah,17.0151,54.0924,27.05,74,20,1.03,OM,1680918246
282,boyabat,41.4689,34.7667,6.47,89,79,0.91,TR,1680918248
283,vila franca do campo,37.7167,-25.4333,11.23,67,6,3.75,PT,1680918140
284,sakakah,29.9697,40.2064,16.76,15,0,2.73,SA,1680918249
285,geraldton,-28.7667,114.6,21.23,56,0,4.63,AU,1680918250
286,saint-philippe,-21.3585,55.7679,23.77,86,71,3.44,RE,1680918251
